,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Rules and Rulers (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sclerometer,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Thermometer (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellaneous (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Miscellaneous (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Tools (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Anvil,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Bleeder,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Brushes (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Buckets (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cement (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Chisel,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Clamps (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Crow bar,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cutting Instruments (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Deburring Instruments,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Digging bar,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,DRILLING AND THREADING,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Drilling machine or instrument (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Facom Vehicle Repair Tools,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Files (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Funnel (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Hammer (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Jack (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Keys, for bolts and screws","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Knife (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Ladder,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Level (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lubricants (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Measuring (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Needles non medica,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pen (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Plier, crimping","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pliers (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Pliers, circlips","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Pliers, cutting","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Pliers, lock-grip","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Podger,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Prosthetic Drilling Machines,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Puller (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pulley (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pump for air (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Punching Instr,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Rasp (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Reamer (Hand),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Regrooving tool,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Saws (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Scaffolding,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Scissors (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Screwdrivers,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Screwdrivers, flat head","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Screwdrivers, star head","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Seals and Sealing Material (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sockets Electrical (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Soldering (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Staples and Staplers (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Tamper, ground com","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Taps,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Testor (Tools (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
