,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,BETAMETHASONE (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,CALAMINE,"Medical, Health",Drug Items,"Medical, Health"
,Clotrimazole,"Medical, Health",Drug Items,"Medical, Health"
,Crotamiton,"Medical, Health",Drug Items,"Medical, Health"
,Delegates (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,ENEMA,"Medical, Health",Drug Items,"Medical, Health"
,"Gentian, Violet","Medical, Health",Drug Items,"Medical, Health"
,Glycerol (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Halothane,"Medical, Health",Drug Items,"Medical, Health"
,Hydrocortisone (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,IPRATROPIUM,"Medical, Health",Drug Items,"Medical, Health"
,Lidocaine (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,"Medic Nuclear, Radiologi (External Use Drugs (Drugs))","Medical, Health",Drug Items,"Medical, Health"
,Miconazole (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Neomycin (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Nystatin (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Paracetamol (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Permethrine (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Petroleum,"Medical, Health",Drug Items,"Medical, Health"
,PODOPHYLLOTOXINE,"Medical, Health",Drug Items,"Medical, Health"
,Salbutamol (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Silver Nitrate (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Sodium Fusidate (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Sulfadiazine (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Talcum (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,THYMOL,"Medical, Health",Drug Items,"Medical, Health"
,Wax for hemostasis,"Medical, Health",Drug Items,"Medical, Health"
,Zinc Sulfate (External Use Drugs (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Infusions,"Medical, Health",Drug Items,"Medical, Health"
,Ciprofloxacine Hydrochloride (Infusions),"Medical, Health",Drug Items,"Medical, Health"
,Dextrose Infusions (Infusions),"Medical, Health",Drug Items,"Medical, Health"
,Fluconazole (Infusions),"Medical, Health",Drug Items,"Medical, Health"
,Lipid,"Medical, Health",Drug Items,"Medical, Health"
,Mannitol,"Medical, Health",Drug Items,"Medical, Health"
,Metronidazole (Infusions),"Medical, Health",Drug Items,"Medical, Health"
,Paracetamol (Infusions),"Medical, Health",Drug Items,"Medical, Health"
,Plasma Substitute,"Medical, Health",Drug Items,"Medical, Health"
,Ringer Lactate,"Medical, Health",Drug Items,"Medical, Health"
,Sodium Chloride (Infusions),"Medical, Health",Drug Items,"Medical, Health"
,Injections (Drugs),"Medical, Health",Drug Items,"Medical, Health"
,Acethylsalicylic Acid (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Amidotrizoate (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Aminophylline (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Amiodarone (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Amoxycillin + Acid Clavulanique (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Amoxycillin Oral (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,AMPHOTERICIN (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Ampicillin,"Medical, Health",Drug Items,"Medical, Health"
,Artemisine and derivates (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Atenolol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Atracurium,"Medical, Health",Drug Items,"Medical, Health"
,Atropine,"Medical, Health",Drug Items,"Medical, Health"
,BETAMETHASONE (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Bupivacaine,"Medical, Health",Drug Items,"Medical, Health"
,Butylhyoscine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,CAFFEINE,"Medical, Health",Drug Items,"Medical, Health"
,Calcium Gluconate (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Cefazolin,"Medical, Health",Drug Items,"Medical, Health"
,Cefotaxime,"Medical, Health",Drug Items,"Medical, Health"
,Ceftriaxone,"Medical, Health",Drug Items,"Medical, Health"
,Chloramphenicol (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
,Chloropromazine,"Medical, Health",Drug Items,"Medical, Health"
,Chloroquine (Injections (Drugs)),"Medical, Health",Drug Items,"Medical, Health"
